	sequence	start	end	H_fei	H_pod	d_xy	f_st	me	deltaB0	deltaB0_bootstrap	outlier	bootstrap_outlier	rediem_var	distance_from_telomere_rescaled	exon_proportion	te_proportion
12	chr2	234853	338945	0.0121	0.00924	0.03017	0.47751000000000005	1.020408163265306e-07	-435.61589199515583	-602.5399591769674	False	False	0.17643082186669598	0.015996342092401188	0.0	0.34439726395880566
13	chr2	256821	360939	0.01169	0.01038	0.028189999999999996	0.43726000000000004	1.4285714285714285e-07	-506.3960332640854	-556.1793172524194	False	False	0.18232878253565546	0.01706323180872158	0.0	0.33628191090877657
14	chr2	277574	382589	0.01069	0.00926	0.028980000000000002	0.48796000000000006	1.020408163265306e-07	-432.46300363847695	-569.4143988523283	False	False	0.19682904108004493	0.018357573474566985	0.0029138694472218255	0.32459172499166783
15	chr2	298601	416486	0.0098	0.00843	0.030969999999999998	0.5453600000000001	6.122448979591838e-08	-318.44768349820515	-426.2380585777137	False	False	0.20534581709745608	0.01944325076638578	0.005471434024685074	0.3859439284048013
16	chr2	315488	442715	0.00859	0.00732	0.0285	0.5637	3.0612244897959183e-08	-146.30769784699078	-292.5658549388172	False	False	0.20823002679171396	0.020729365919882774	0.01773208517060058	0.39364285882713573
17	chr2	338876	459006	0.00895	0.00646	0.02839	0.57306	2.0408163265306117e-08	-54.50631935324054	-177.7692475284275	False	False	0.21626664303325466	0.022731187647691605	0.01877965537334554	0.3890452010322151
18	chr2	360868	483252	0.00854	0.0057399999999999994	0.03084	0.624	1.0204081632653058e-08	137.18203834093583	-18.675271783271484	True	False	0.21599965594702566	0.023948044460741832	0.018433782193750817	0.40216858412864426
19	chr2	382496	508977	0.00886	0.00584	0.03286	0.63439	1.0204081632653058e-08	173.82424354525574	-26.472565372328944	True	False	0.20994148509135396	0.02509997852769108	0.01541733541006159	0.4180548857140598
20	chr2	416403	532369	0.00992	0.0059700000000000005	0.03207	0.60277	0.0	91.25581370350847	-18.58310609136241	True	False	0.2075819118668218	0.02641933323783909	0.015832226687132436	0.3450235413828191
21	chr2	442650	572501	0.009340000000000001	0.00642	0.03344	0.61863	0.0	272.1048722810374	113.33092417649459	True	True	0.2085277082771884	0.027751250054681292	0.029618562814302547	0.3141600757791623
22	chr2	458938	622468	0.00897	0.00672	0.03184	0.6046600000000001	1.0204081632653058e-08	137.88265641771432	-70.67678969592086	True	False	0.19900055071459316	0.02916520965683604	0.0457347275729224	0.3163945453433621
23	chr2	483174	673948	0.01014	0.00673	0.0297	0.5576300000000001	1.0204081632653058e-08	77.78757681846037	-26.395433886020342	True	False	0.2005571472642302	0.02998641569356197	0.07252560621468335	0.29412288886326227
24	chr2	508912	699438	0.010740000000000001	0.00715	0.026489999999999996	0.49522	3.0612244897959183e-08	-33.77803278833744	-120.01194000581745	False	False	0.20489523291629208	0.032686434864670814	0.07485592517556659	0.27368443152115723
25	chr2	532303	734640	0.00957	0.00659	0.025519999999999998	0.51908	2.0408163265306117e-08	-26.577317010771367	-127.14145563566123	False	False	0.2119445106915876	0.03653610913647023	0.08658821668800071	0.26243840721173095
26	chr2	572437	758960	0.009909999999999999	0.00592	0.025889999999999996	0.53166	4.0816326530612233e-08	-117.80561570895952	-211.58928355698302	False	False	0.21432068713570224	0.037917385027402904	0.08582319606697297	0.25703532540222923
27	chr2	622385	813680	0.00897	0.00521	0.027489999999999997	0.58995	0.0	192.2941676586197	31.09664246380268	True	True	0.21664363059711128	0.03956952439586133	0.08056143652473928	0.22327295538304712
28	chr2	673882	829623	0.00773	0.00513	0.0301	0.64785	0.0	244.5440161236329	61.63973855103541	True	True	0.21460195230200466	0.041726426998346305	0.06031167130042828	0.2013663710904643
29	chr2	699369	859237	0.0073	0.00477	0.030189999999999998	0.66668	0.0	302.5404717820493	126.90661392424951	True	True	0.21378798053055836	0.04437225124013284	0.06560412340180649	0.19427903019991494
30	chr2	734570	906134	0.0082	0.0049299999999999995	0.03179	0.6578	0.0	338.19707243028097	155.12006171718525	True	True	0.20862581171364275	0.04561078602491199	0.06464642932083654	0.19523326572008112
31	chr2	758885	931371	0.00796	0.00543	0.03143	0.64891	0.0	303.8125416053517	138.31986811915704	True	True	0.2085639987788664	0.04727409788649225	0.05656111220620804	0.1819394037776979
32	chr2	813614	945185	0.00854	0.0069900000000000006	0.030780000000000002	0.59721	1.0204081632653058e-08	90.01059966710454	-24.281359054948553	True	False	0.2081795827048053	0.048921401399718845	0.051075084935130084	0.17804075366152117
33	chr2	829559	998784	0.00926	0.00748	0.0293	0.55569	3.0612244897959183e-08	-157.17262184292485	-310.6233904094843	False	False	0.1967546554638348	0.0507329572371992	0.07770128527108879	0.20644703796720343
34	chr2	859169	1068815	0.00895	0.0073	0.031039999999999998	0.58513	2.0408163265306117e-08	-81.59470473299734	-213.533471739167	False	False	0.20168880311004675	0.05211645650984766	0.07044732549154288	0.2266487316714843
35	chr2	906069	1136371	0.00835	0.007240000000000001	0.02882	0.5742	3.0612244897959183e-08	-135.38895341343596	-302.76358247271855	False	False	0.2017858424642575	0.05293727345477333	0.059256975623311996	0.2361594775555575
36	chr2	931301	1182111	0.00813	0.007090000000000001	0.027760000000000003	0.5697300000000001	3.0612244897959183e-08	-182.89696183349588	-264.3422278308426	False	False	0.201188168267118	0.05790775444950097	0.07059527132092022	0.26174394960328534
37	chr2	945121	1251183	0.008140000000000001	0.00554	0.027280000000000002	0.5988899999999999	3.0612244897959183e-08	-161.3053151750646	-270.0824434971437	False	False	0.20287291835123106	0.06130235806862167	0.08482595029765211	0.2637831550470166
38	chr2	998717	1267149	0.00748	0.0046700000000000005	0.025269999999999997	0.61234	0.0	99.62539230402035	-47.42238776801966	True	False	0.2089853656765634	0.06481435624233593	0.07150414257614592	0.2537663169815819
39	chr2	1068745	1309243	0.0074	0.00441	0.022269999999999998	0.58062	5.10204081632653e-08	-14.236135704020853	-119.23140737216454	False	False	0.20836860734475116	0.06642097187016362	0.11020881670533643	0.23891674774842203
40	chr2	1136301	1389370	0.00743	0.00435	0.021509999999999998	0.56994	5.10204081632653e-08	-58.30177525628824	-178.4349008227	False	False	0.21229092978554345	0.0699640973878989	0.1292967530594423	0.22717914876970313
41	chr2	1182027	1407123	0.0072	0.004229999999999999	0.02058	0.56539	5.10204081632653e-08	-44.013063280508504	-171.5278618970042	False	False	0.21280418650050906	0.07084283342652081	0.12389380530973451	0.2175738351636635
42	chr2	1251080	1426274	0.0068200000000000005	0.00428	0.01905	0.54907	7.142857142857142e-08	-11.212456911060144	-104.98950784759656	False	False	0.21579032607982807	0.0740445030972541	0.11464433713483338	0.19952738107469434
43	chr2	1267083	1454925	0.0061600000000000005	0.00433	0.01701	0.5284399999999999	1.020408163265306e-07	-64.3853898462985	-105.88894155345042	False	False	0.21626339664514488	0.07760263644157095	0.11554923818954227	0.21488804420736576
44	chr2	1309154	1491256	0.00592	0.00403	0.01656	0.53777	8.163265306122447e-08	-153.616387201997	-240.15418191012577	False	False	0.21588607261235293	0.07883022107139985	0.0799332242369661	0.20654358546309212
45	chr2	1389303	1512501	0.00594	0.0044399999999999995	0.01789	0.5502100000000001	1.1224489795918366e-07	-256.6278671821783	-315.9964122909296	False	False	0.2173467061285675	0.07981756930683796	0.043637072030390106	0.24404616958067502
46	chr2	1407056	1532343	0.00614	0.00432	0.02065	0.5958399999999999	7.142857142857142e-08	-271.1442609930964	-350.9699088830239	False	False	0.2223284369896629	0.08240441834861324	0.04532792707942564	0.2340945189844118
47	chr2	1426201	1560286	0.00564	0.00428	0.02364	0.65313	5.10204081632653e-08	-286.9100786679046	-417.31218691742106	False	False	0.22432616508721046	0.08363972922990451	0.03897527687660812	0.28404370362083753
48	chr2	1454859	1577333	0.00602	0.00418	0.027360000000000002	0.68582	2.0408163265306117e-08	-96.07608348752547	-294.7123249723809	False	False	0.22679025503715186	0.08465097881878733	0.029442983816973398	0.28059016607606513
49	chr2	1491191	1604489	0.0063	0.00461	0.029310000000000003	0.68602	1.0204081632653058e-08	97.28572093615367	-102.62190603447377	True	False	0.2299962618735484	0.08577984530043528	0.012550971773552931	0.3143921340182527
50	chr2	1512436	1741275	0.00604	0.00428	0.027880000000000002	0.68757	0.0	215.83749162047752	8.031705467612483	True	True	0.229691849909617	0.08728301809393599	0.076455499281154	0.3231922880278274
51	chr2	1532247	1756611	0.0067	0.00461	0.026510000000000002	0.6484300000000001	0.0	220.7063541799871	32.87494495844294	True	True	0.2283681021936852	0.0883779780044182	0.07662994063218698	0.31870086110071133
52	chr2	1560213	1813617	0.00784	0.00469	0.0256	0.6068	0.0	228.9968256036227	89.8212992773042	True	True	0.2259472558971093	0.09252302853715991	0.1040985935502202	0.28488105949393067
53	chr2	1577234	1829044	0.00796	0.00507	0.02474	0.58313	1.0204081632653058e-08	84.40824118535966	-13.772965546057108	True	False	0.2254979163996753	0.09719079611128315	0.10607998093800881	0.28190699336801556
54	chr2	1604423	1842685	0.00863	0.00604	0.0251	0.5475399999999999	5.10204081632653e-08	-70.34470972088457	-165.1719278141827	False	False	0.22266978934092133	0.0989136390183036	0.10741536627745926	0.27736273514030774
55	chr2	1741210	1858579	0.008790000000000001	0.00609	0.02671	0.56439	4.0816326530612233e-08	-25.19215293462912	-185.88234300745538	False	False	0.2190854394642484	0.10120116529659107	0.08703320297523195	0.19555419233358043
56	chr2	1756534	1877199	0.008870000000000001	0.00594	0.02657	0.56399	4.0816326530612233e-08	-134.138209796336	-209.85983810828475	False	False	0.22078664203531045	0.10204293761418802	0.0846558654125057	0.2199643641486761
57	chr2	1813551	1901825	0.00823	0.00632	0.026180000000000002	0.56503	5.10204081632653e-08	-105.01167402691499	-299.65950499066093	False	False	0.22546989587809124	0.10287587198946473	0.034189002424269886	0.24080703264834494
58	chr2	1828979	1942606	0.00828	0.006379999999999999	0.02554	0.55401	5.10204081632653e-08	-125.84883945481852	-256.96660864527803	False	False	0.2270260992804484	0.10371497624900275	0.06080421026692599	0.23744356534978484
59	chr2	1842881	1981474	0.00744	0.0054600000000000004	0.024130000000000002	0.57811	2.0408163265306117e-08	-16.967062775365775	-130.26645478360297	False	False	0.2292141316105063	0.10496885236762082	0.06138838180860505	0.28552668605196513
60	chr2	1858482	2035276	0.00672	0.00536	0.02174	0.56529	4.0816326530612233e-08	-115.85004219759139	-209.19422827671224	False	False	0.22955582823845666	0.10729295327513298	0.09930201251173683	0.28172901795309796
61	chr2	1877125	2047074	0.005370000000000001	0.00524	0.02132	0.60144	3.0612244897959183e-08	-103.43633840007533	-195.89307861794077	False	False	0.22957491721300655	0.10892691649806485	0.10330157870890679	0.2590129980170522
62	chr2	1901760	2066195	0.00514	0.00495	0.02206	0.62757	1.0204081632653058e-08	20.49159717351722	-112.87349996670673	True	False	0.22959900353672774	0.11258721423222211	0.10273360294341229	0.23607504485054884
63	chr2	1942541	2097184	0.00502	0.00488	0.02386	0.6564	0.0	164.7804911202984	41.22562728209596	True	True	0.22990217676444996	0.11345911337206797	0.09616342155804013	0.2143776310599251
64	chr2	1981410	2117963	0.00496	0.0053100000000000005	0.02482	0.65715	0.0	168.1323040555144	21.680476900946815	True	True	0.2312155947189133	0.11446491567574713	0.1021361669095516	0.15971820465313835
65	chr2	2035209	2136324	0.00565	0.0056700000000000006	0.02777	0.66138	0.0	276.3150501237542	161.76248258944543	True	True	0.231875	0.11540596198695398	0.051832072392820054	0.0927656628591208
66	chr2	2046988	2151160	0.0058200000000000005	0.005679999999999999	0.02875	0.66683	0.0	325.9216569351411	193.33544945828908	True	True	0.231875	0.11702636258141955	0.05031102407556733	0.11254463771454902
67	chr2	2066129	2168451	0.00592	0.0053100000000000005	0.02937	0.6791	0.0	320.92232400592184	124.03974458183802	True	True	0.2286726469885634	0.11839040726405486	0.042248978714255	0.13092980981607083
68	chr2	2097111	2185869	0.00601	0.00518	0.027460000000000002	0.66162	0.0	203.495794485847	46.03807566352768	True	True	0.2255690340292618	0.11911928737503275	0.02389643750422497	0.17027197548390005
69	chr2	2117868	2200585	0.00639	0.0052899999999999996	0.02537	0.62585	1.0204081632653058e-08	28.072031866759062	-129.35723940582832	True	False	0.2236488291343884	0.12007456332922063	0.023683160656213353	0.16549197867427493
70	chr2	2136255	2215627	0.00591	0.00532	0.02246	0.59996	4.0816326530612233e-08	-212.07174813808524	-307.44590839180455	False	False	0.21820642814110688	0.12107986537201373	0.011603588167111828	0.18715667993750945
71	chr2	2151087	2230723	0.00648	0.00524	0.020640000000000002	0.55798	1.3265306122448975e-07	-217.4234366097371	-276.0171676658647	False	False	0.21492879709576135	0.12190212751505465	0.011565121301923753	0.19233763624491437
72	chr2	2168383	2249050	0.00665	0.00548	0.01715	0.47731999999999997	1.020408163265306e-07	-170.20516312951804	-242.20030112478707	False	False	0.2121392389722389	0.12270882598608508	0.009074342668005504	0.21394126470551775
73	chr2	2185804	2268369	0.00648	0.00579	0.01859	0.50348	2.040816326530612e-07	-201.75999338137626	-279.7901471899095	False	False	0.205105841048638	0.12350496339396551	0.02786895173499667	0.1980742445346091
74	chr2	2200516	2294392	0.006370000000000001	0.00606	0.020059999999999998	0.52705	1.3265306122448975e-07	-239.02759265054192	-327.86810863811115	False	False	0.19584315099010824	0.12438642307518927	0.025341940432059312	0.21248242362265116
75	chr2	2215563	2310185	0.007359999999999999	0.00626	0.02194	0.5262600000000001	9.183673469387754e-08	-223.58893500572594	-300.6779793215537	False	False	0.1992380092893108	0.1254759912850107	0.02980279427617256	0.2184375726575215
76	chr2	2230628	2349621	0.007940000000000001	0.006670000000000001	0.02331	0.52274	1.020408163265306e-07	-259.4841727436142	-295.85666066063277	False	False	0.20703402987033048	0.12656522598757475	0.0553141781449329	0.20895346785105007
77	chr2	2248968	2422182	0.00774	0.006679999999999999	0.02494	0.5513899999999999	8.163265306122447e-08	-274.11252617358696	-375.726040569818	False	False	0.20669203124108365	0.12798618924213423	0.08292632235269666	0.18788319650836538
78	chr2	2268302	2491303	0.00826	0.006670000000000001	0.024480000000000002	0.53264	6.122448979591838e-08	-188.38448954708292	-258.70663999389217	False	False	0.2121657370516053	0.13024570091080276	0.06044367514047022	0.18962695234550517
79	chr2	2294317	2521681	0.00896	0.00588	0.02455	0.53596	4.0816326530612233e-08	-137.97676530822355	-304.0557423025166	False	False	0.2166209069098694	0.1332746138222194	0.0741410249643743	0.18401330025861615
80	chr2	2310107	2557420	0.0082	0.00498	0.02377	0.56577	2.0408163265306117e-08	-58.629620166830136	-141.71205896695028	False	False	0.2175735881441612	0.1379635035226426	0.07782850072580091	0.1956427684755755
81	chr2	2349502	2576579	0.00728	0.00463	0.02545	0.62075	3.0612244897959183e-08	-23.628631745668827	-164.2624406608229	False	False	0.21544275115657316	0.1390073812382046	0.06819713136953544	0.19561646489957152
82	chr2	2422182	2593761	0.00733	0.0048200000000000005	0.02727	0.6356	0.0	220.01197077039978	16.16892201687733	True	True	0.2181006385900568	0.1410271567733684	0.04362421974717186	0.20508920089288316
83	chr2	2491229	2613587	0.008020000000000001	0.00555	0.0256	0.58089	4.0816326530612233e-08	-204.96008026866184	-312.10124456038466	False	False	0.21497223516620487	0.14276206152619703	0.05558279801892806	0.23329083509047222
84	chr2	2521614	2630250	0.00864	0.00596	0.025169999999999998	0.55051	6.122448979591838e-08	-217.22634515976824	-388.092228067675	False	False	0.21235870503614893	0.14365358200968473	0.026068706506130565	0.24282005964873524
85	chr2	2557356	2644495	0.00848	0.006670000000000001	0.028839999999999998	0.58386	2.0408163265306117e-08	-115.73985209694365	-251.45129028476367	False	False	0.21217654525685575	0.14467972825606332	0.0	0.21464556627916317
86	chr2	2576515	2668849	0.00923	0.00732	0.02833	0.548	3.0612244897959183e-08	-97.70582340496185	-180.18426291919604	False	False	0.21477786455593112	0.14576929646588474	0.0	0.252442220633786
87	chr2	2593695	2708864	0.009640000000000001	0.00731	0.02667	0.51757	6.122448979591838e-08	-185.29870245364145	-320.300628859477	False	False	0.2056587189735026	0.1465610426948765	0.014326771961204838	0.2392484088600231
88	chr2	2613515	2725314	0.00893	0.006520000000000001	0.028189999999999996	0.56998	1.0204081632653058e-08	45.320652493610396	-57.825289998072535	True	False	0.20633425177862386	0.14750514615594254	0.017254179375486366	0.2103238848290235
89	chr2	2630185	2740385	0.00745	0.0069	0.028810000000000002	0.6010800000000001	1.0204081632653058e-08	35.62511691331747	-81.78740038842079	True	False	0.20139165028059705	0.1489418398361412	0.022540834845735026	0.20961887477313976
90	chr2	2644407	2755644	0.00746	0.007490000000000001	0.026410000000000003	0.55871	4.0816326530612233e-08	-175.5922304745909	-293.40773419005563	False	False	0.19650645770911676	0.15113581732873693	0.022330699317673078	0.21188093889623058
91	chr2	2668785	2770407	0.0071200000000000005	0.00731	0.026639999999999997	0.57395	4.0816326530612233e-08	-211.86067649880715	-337.48548757098615	False	False	0.1974112287116793	0.15186369691794271	0.024443526008147844	0.18229320422743106
92	chr2	2708789	2783229	0.006509999999999999	0.00715	0.027569999999999997	0.6028899999999999	2.0408163265306117e-08	-84.8557939902239	-151.91251630484476	False	False	0.20348351697160355	0.1527593306576046	0.011203653949489521	0.1540166577109081
93	chr2	2725249	2802348	0.00627	0.0068	0.02752	0.61631	2.0408163265306117e-08	-66.84722422793857	-185.312705429591	False	False	0.202708080930841	0.1535746447327837	0.012529345387099704	0.15507334725482821
94	chr2	2740318	2817801	0.0064	0.006379999999999999	0.028689999999999997	0.63573	0.0	82.41286098198907	-61.064149248602945	True	False	0.2073087449574273	0.15436149952200073	0.005304389349921918	0.15682149632822684
95	chr2	2755579	2836272	0.00634	0.00555	0.02878	0.65773	0.0	336.75958232388075	215.8752079764963	True	True	0.21592883921832054	0.15510744408764726	0.00851374964371135	0.16855241470759547
96	chr2	2770342	2849888	0.00645	0.0051600000000000005	0.02712	0.64731	0.0	408.8844398459769	301.9022899036936	True	True	0.2212523916932188	0.1562145770130234	0.00863651220677344	0.1527418097704473
97	chr2	2783163	2866802	0.00678	0.00521	0.027110000000000002	0.63777	0.0	421.34557267498167	297.2256049282296	True	True	0.2146054416364248	0.15719631120962915	0.008213871519267328	0.18534415762981385
98	chr2	2802276	2882506	0.0067599999999999995	0.00554	0.026310000000000004	0.6209399999999999	0.0	293.47977055827505	192.31935151587822	True	True	0.20925926906558232	0.1580069005986622	0.0034401096846566124	0.18379658481864639
99	chr2	2817737	2906131	0.00745	0.0055	0.02487	0.58687	1.0204081632653058e-08	79.94713950263395	-60.97761631885078	True	False	0.20380412081995455	0.1589421105328651	0.003122383872208521	0.23626037966377808
100	chr2	2836206	2931874	0.00903	0.00617	0.023790000000000002	0.51579	5.10204081632653e-08	-101.80867124575889	-199.94876166930774	False	False	0.1932907848709629	0.15986837135566198	0.009376175941798721	0.25915666680603755
101	chr2	2849820	2948140	0.0092	0.00599	0.02416	0.52172	4.0816326530612233e-08	-135.9850569438422	-235.57674270501593	False	False	0.19153580555953773	0.1611136318701314	0.00912327095199349	0.2801566314076485
102	chr2	2866736	2965302	0.009290000000000001	0.00605	0.02192	0.48165	7.142857142857142e-08	-190.37320095929317	-284.47305462999793	False	False	0.1971253766924086	0.16227901739646114	0.009100501187021893	0.2844287076679585
103	chr2	2882435	2982940	0.00965	0.00615	0.02313	0.49072	7.142857142857142e-08	-152.96377398414188	-235.52133285584569	False	False	0.2012879695653918	0.16337831290128912	0.008924929108004577	0.30359683597830955
104	chr2	2906066	3000339	0.00939	0.00621	0.02425	0.51332	2.0408163265306117e-08	-21.310591890171054	-101.63247261744982	False	False	0.2025601087179263	0.16430635242945862	0.009514919436105778	0.2723579391766465
105	chr2	2931807	3015021	0.00889	0.0055899999999999995	0.02349	0.52892	0.0	91.96565320626542	27.332170730442158	True	True	0.20554823003180006	0.16524234054726206	0.0	0.23440767178599756
106	chr2	2948068	3031188	0.009290000000000001	0.00592	0.02214	0.48866000000000004	2.0408163265306117e-08	-8.798665473412257	-102.66056043078426	False	False	0.20515604370293225	0.16634263657386217	0.0	0.22576997112608277
107	chr2	2965236	3050735	0.010020000000000001	0.0059299999999999995	0.02401	0.50129	1.0204081632653058e-08	51.89678529390949	-50.92921521242533	True	False	0.20175435551066784	0.16719485878552331	0.0	0.22174528357056808
108	chr2	2982876	3071266	0.010440000000000001	0.0057	0.02317	0.48323	1.0204081632653058e-08	8.499675048500649	-63.17893729890055	True	False	0.1989234607994516	0.16801528663864873	0.0033940491005769883	0.20205905645435004
109	chr2	3000271	3085978	0.01123	0.00575	0.023280000000000002	0.4654	5.10204081632653e-08	-50.56060174369486	-139.053710726992	False	False	0.19775382920927684	0.1690916813118041	0.0035002975252896498	0.19252803154934836
110	chr2	3014927	3103944	0.01078	0.0062	0.02605	0.50849	2.0408163265306117e-08	-39.53533414399135	-149.51645949277736	False	False	0.19513353998281535	0.17008675579870458	0.0033701427817158522	0.21890200748171698
111	chr2	3031123	3126393	0.01036	0.00595	0.02891	0.56008	0.0	83.06962747730722	-14.917636387079256	True	False	0.19607919825072886	0.17113357949504	0.005668101186102656	0.24324551275322767
112	chr2	3050666	3143146	0.00955	0.00575	0.029560000000000003	0.5887899999999999	1.0204081632653058e-08	128.71948681875074	-11.46324353775708	True	False	0.20191091883232468	0.17207140190275896	0.008174740484429066	0.2363970588235294
113	chr2	3071194	3163536	0.00853	0.00565	0.03096	0.6271800000000001	0.0	264.78223038758733	47.50727911735888	True	True	0.2063785751821421	0.17309727022642307	0.004938164648805528	0.27398150354118384
114	chr2	3085892	3253783	0.0075	0.00549	0.03042	0.6480899999999999	0.0	317.6404468063556	118.77317095689071	True	True	0.20743482861594065	0.1742663799171268	0.014527282582151515	0.20920716417199253
115	chr2	3103879	3271365	0.0069	0.00572	0.03045	0.65662	1.0204081632653058e-08	244.12513511297584	28.433030920205027	True	True	0.20456319690877856	0.1754696185171678	0.014562411186606642	0.2037185197568752
116	chr2	3126322	3284983	0.00609	0.00599	0.03034	0.66797	2.0408163265306117e-08	-13.868079197476618	-242.45899073639885	False	False	0.2054688931760204	0.17633468075823763	0.013859738688146425	0.18283005905673103
117	chr2	3143078	3304426	0.006	0.00591	0.03135	0.68057	2.0408163265306117e-08	-14.30165586854855	-283.8694463895081	False	False	0.20643684971843893	0.18134195872036155	0.012290205022683888	0.19089173711480775
118	chr2	3163460	3322839	0.00774	0.00607	0.03009	0.62674	4.0816326530612233e-08	-259.08226625942916	-413.2225488066033	False	False	0.2030014339396748	0.1821714468539788	0.019463040927600248	0.16214181291136223
119	chr2	3253783	3350482	0.00951	0.006670000000000001	0.030239999999999996	0.57797	7.142857142857142e-08	-427.4229998098017	-606.9016224892403	False	False	0.1904908373107265	0.18299409808881997	0.10371358545589923	0.2286269764940692
120	chr2	3271294	3382493	0.009770000000000001	0.00603	0.02967	0.5793699999999999	5.10204081632653e-08	-403.85075666496414	-575.1551055163	False	False	0.1981339376060061	0.1840326396882641	0.09018965997895664	0.30047032797057527
121	chr2	3284897	3402558	0.010320000000000001	0.0059700000000000005	0.02965	0.56903	5.10204081632653e-08	-352.66115444408206	-509.67945922024956	False	False	0.1994071051920145	0.18553408936093507	0.08523639948666083	0.324406557822898
122	chr2	3304338	3419110	0.01124	0.0069900000000000006	0.0287	0.5180899999999999	8.163265306122447e-08	-401.30497019914037	-542.9011730091588	False	False	0.19268837205222253	0.18695294040286453	0.08738193984595546	0.30875126337434217
123	chr2	3322772	3444343	0.0101	0.008329999999999999	0.028360000000000003	0.50955	1.020408163265306e-07	-405.1065068497701	-578.0633604906179	False	False	0.19502173182895904	0.1886640549713342	0.07329050513691587	0.369405532569445
124	chr2	3350401	3461100	0.00836	0.007529999999999999	0.030489999999999996	0.5866600000000001	3.0612244897959183e-08	-244.83175428524555	-407.3225418830116	False	False	0.20470081448535893	0.1895976529537932	0.0	0.35864822627124004
125	chr2	3382415	3480539	0.00848	0.007359999999999999	0.03071	0.5898100000000001	6.122448979591838e-08	-200.64861927359016	-318.40024487816845	False	False	0.20761836568647846	0.1906485899063028	0.0	0.3258428111369288
126	chr2	3402493	3498052	0.00813	0.00742	0.02961	0.5842	6.122448979591838e-08	-255.5574202175194	-324.3855050558341	False	False	0.20880983734922207	0.19201991616405734	0.0	0.3153444468862169
127	chr2	3419033	3520181	0.00792	0.00747	0.0297	0.5884199999999999	3.0612244897959183e-08	-220.87898936730926	-382.4778990202758	False	False	0.2078815024979153	0.19277208619850808	0.0	0.36088701704433107
128	chr2	3444277	3542344	0.00774	0.0067	0.031030000000000002	0.62241	4.0816326530612233e-08	-256.6861789248942	-445.5857729486597	False	False	0.2046679169989679	0.1940236277663246	0.0	0.3149479437527405
129	chr2	3461027	3565092	0.00854	0.00673	0.0286	0.57843	5.10204081632653e-08	-228.34009798082116	-360.31601211951056	False	False	0.20200271040384848	0.19497590215519617	0.0	0.3498198241483688
130	chr2	3480471	3686338	0.00905	0.00713	0.02843	0.55695	6.122448979591838e-08	-207.32237361959415	-307.0233497409936	False	False	0.197457772913298	0.19650936852457446	0.01671467500862207	0.3109871907590823
131	chr2	3497985	3710642	0.00927	0.007529999999999999	0.027880000000000002	0.53704	4.0816326530612233e-08	-242.27327917642833	-331.66120806051185	False	False	0.1897915310965329	0.1972593707618523	0.020215652435612276	0.31723855786548294
