	sequence	start	end	Ne_A	Ne_A_B	Ne_B	T	me	lnCl
39	iphiclides_podalirius.IP_504.chromosome_2	1068745	1309243	610000.0	900000.0	290000.0	2181320.0	5.10204081632653e-08	-78993.36902135261
40	iphiclides_podalirius.IP_504.chromosome_2	1136301	1389370	610000.0	800000.0	290000.0	2181320.0	5.10204081632653e-08	-78347.1039054264
41	iphiclides_podalirius.IP_504.chromosome_2	1182027	1407123	610000.0	700000.0	290000.0	2181320.0	5.10204081632653e-08	-77066.97949924803
42	iphiclides_podalirius.IP_504.chromosome_2	1251080	1426274	610000.0	600000.0	290000.0	2181320.0	7.142857142857142e-08	-75449.60351844157
43	iphiclides_podalirius.IP_504.chromosome_2	1267083	1454925	510000.0	500000.0	290000.0	2181320.0	1.020408163265306e-07	-72920.9491215721
44	iphiclides_podalirius.IP_504.chromosome_2	1309154	1491256	510000.0	400000.0	290000.0	2181320.0	8.163265306122447e-08	-71584.99134817223
45	iphiclides_podalirius.IP_504.chromosome_2	1389303	1512501	510000.0	600000.0	290000.0	2181320.0	1.1224489795918366e-07	-73813.30598082271
46	iphiclides_podalirius.IP_504.chromosome_2	1407056	1532343	510000.0	800000.0	290000.0	2181320.0	7.142857142857142e-08	-76340.51200436143
47	iphiclides_podalirius.IP_504.chromosome_2	1426201	1560286	410000.0	1100000.0	290000.0	2181320.0	5.10204081632653e-08	-77201.07843903992
48	iphiclides_podalirius.IP_504.chromosome_2	1454859	1577333	410000.0	1400000.0	290000.0	2181320.0	2.0408163265306117e-08	-79215.20349295983
49	iphiclides_podalirius.IP_504.chromosome_2	1491191	1604489	410000.0	1500000.0	290000.0	2181320.0	1.0204081632653058e-08	-81509.14815962345
50	iphiclides_podalirius.IP_504.chromosome_2	1512436	1741275	410000.0	1300000.0	290000.0	2181320.0	0.0	-80094.20670172287
51	iphiclides_podalirius.IP_504.chromosome_2	1532247	1756611	510000.0	1200000.0	390000.0	2181320.0	0.0	-81214.61881255767
52	iphiclides_podalirius.IP_504.chromosome_2	1560213	1813617	610000.0	1100000.0	390000.0	2181320.0	0.0	-82786.23116550535
53	iphiclides_podalirius.IP_504.chromosome_2	1577234	1829044	610000.0	1000000.0	390000.0	2181320.0	1.0204081632653058e-08	-83149.94912535888
54	iphiclides_podalirius.IP_504.chromosome_2	1604423	1842685	710000.0	1100000.0	390000.0	2181320.0	5.10204081632653e-08	-85669.78825728082
55	iphiclides_podalirius.IP_504.chromosome_2	1741210	1858579	710000.0	1300000.0	390000.0	2181320.0	4.0816326530612233e-08	-86772.0734848379
56	iphiclides_podalirius.IP_504.chromosome_2	1756534	1877199	710000.0	1300000.0	390000.0	2181320.0	4.0816326530612233e-08	-86367.58675041329
57	iphiclides_podalirius.IP_504.chromosome_2	1813551	1901825	610000.0	1300000.0	390000.0	2181320.0	5.10204081632653e-08	-86290.51419393002
58	iphiclides_podalirius.IP_504.chromosome_2	1828979	1942606	610000.0	1200000.0	390000.0	2181320.0	5.10204081632653e-08	-86292.49428507878
59	iphiclides_podalirius.IP_504.chromosome_2	1842881	1981474	610000.0	1000000.0	390000.0	2181320.0	2.0408163265306117e-08	-83120.38175705759
60	iphiclides_podalirius.IP_504.chromosome_2	1858482	2035276	510000.0	800000.0	390000.0	2181320.0	4.0816326530612233e-08	-80291.18724041039
61	iphiclides_podalirius.IP_504.chromosome_2	1877125	2047074	410000.0	800000.0	390000.0	2181320.0	3.0612244897959183e-08	-77831.96888197902
62	iphiclides_podalirius.IP_504.chromosome_2	1901760	2066195	410000.0	800000.0	390000.0	2181320.0	1.0204081632653058e-08	-77211.71923904013
63	iphiclides_podalirius.IP_504.chromosome_2	1942541	2097184	410000.0	900000.0	390000.0	2181320.0	0.0	-77625.9307959546
64	iphiclides_podalirius.IP_504.chromosome_2	1981410	2117963	410000.0	1000000.0	390000.0	2181320.0	0.0	-78554.1061204793
65	iphiclides_podalirius.IP_504.chromosome_2	2035209	2136324	410000.0	1300000.0	390000.0	2181320.0	0.0	-81636.15338896838
66	iphiclides_podalirius.IP_504.chromosome_2	2046988	2151160	410000.0	1400000.0	390000.0	2181320.0	0.0	-82252.01895267006
67	iphiclides_podalirius.IP_504.chromosome_2	2066129	2168451	410000.0	1500000.0	390000.0	2181320.0	0.0	-81454.79129897951
68	iphiclides_podalirius.IP_504.chromosome_2	2097111	2185869	410000.0	1300000.0	390000.0	2181320.0	0.0	-81117.78376543998
69	iphiclides_podalirius.IP_504.chromosome_2	2117868	2200585	510000.0	1100000.0	390000.0	2181320.0	1.0204081632653058e-08	-81324.35529799879
70	iphiclides_podalirius.IP_504.chromosome_2	2136255	2215627	510000.0	900000.0	390000.0	2181320.0	4.0816326530612233e-08	-78873.95876364544
71	iphiclides_podalirius.IP_504.chromosome_2	2151087	2230723	510000.0	900000.0	290000.0	2181320.0	1.3265306122448975e-07	-78296.1120626849
72	iphiclides_podalirius.IP_504.chromosome_2	2168383	2249050	610000.0	500000.0	390000.0	2181320.0	1.020408163265306e-07	-76106.2013302449
73	iphiclides_podalirius.IP_504.chromosome_2	2185804	2268369	510000.0	700000.0	290000.0	2181320.0	2.040816326530612e-07	-77053.25779578388
74	iphiclides_podalirius.IP_504.chromosome_2	2200516	2294392	510000.0	800000.0	390000.0	2181320.0	1.3265306122448975e-07	-78324.97232458141
75	iphiclides_podalirius.IP_504.chromosome_2	2215563	2310185	610000.0	900000.0	390000.0	2181320.0	9.183673469387754e-08	-81952.31781766655
76	iphiclides_podalirius.IP_504.chromosome_2	2230628	2349621	610000.0	1000000.0	390000.0	2181320.0	1.020408163265306e-07	-84017.64834601397
77	iphiclides_podalirius.IP_504.chromosome_2	2248968	2422182	610000.0	1200000.0	390000.0	2181320.0	8.163265306122447e-08	-84473.0008100266
78	iphiclides_podalirius.IP_504.chromosome_2	2268302	2491303	610000.0	1100000.0	390000.0	2181320.0	6.122448979591838e-08	-85713.10113142838
79	iphiclides_podalirius.IP_504.chromosome_2	2294317	2521681	710000.0	1100000.0	390000.0	2181320.0	4.0816326530612233e-08	-85514.94755933907
80	iphiclides_podalirius.IP_504.chromosome_2	2310107	2557420	610000.0	1000000.0	390000.0	2181320.0	2.0408163265306117e-08	-82001.73024046945
81	iphiclides_podalirius.IP_504.chromosome_2	2349502	2576579	510000.0	1200000.0	290000.0	2181320.0	3.0612244897959183e-08	-81255.3010537026
82	iphiclides_podalirius.IP_504.chromosome_2	2422182	2593761	510000.0	1300000.0	390000.0	2181320.0	0.0	-82867.61143975517
83	iphiclides_podalirius.IP_504.chromosome_2	2491229	2613587	610000.0	1200000.0	390000.0	2181320.0	4.0816326530612233e-08	-84538.37899145423
84	iphiclides_podalirius.IP_504.chromosome_2	2521614	2630250	610000.0	1200000.0	390000.0	2181320.0	6.122448979591838e-08	-85709.86211847153
85	iphiclides_podalirius.IP_504.chromosome_2	2557356	2644495	610000.0	1400000.0	490000.0	2181320.0	2.0408163265306117e-08	-88832.54595854197
86	iphiclides_podalirius.IP_504.chromosome_2	2576515	2668849	710000.0	1400000.0	490000.0	2181320.0	3.0612244897959183e-08	-90532.00604281374
87	iphiclides_podalirius.IP_504.chromosome_2	2593695	2708864	710000.0	1300000.0	490000.0	2181320.0	6.122448979591838e-08	-89639.31481921287
88	iphiclides_podalirius.IP_504.chromosome_2	2613515	2725314	710000.0	1400000.0	490000.0	2181320.0	1.0204081632653058e-08	-88275.72807568313
89	iphiclides_podalirius.IP_504.chromosome_2	2630185	2740385	510000.0	1400000.0	490000.0	2181320.0	1.0204081632653058e-08	-86997.40663403492
90	iphiclides_podalirius.IP_504.chromosome_2	2644407	2755644	510000.0	1300000.0	490000.0	2181320.0	4.0816326530612233e-08	-86821.17520473839
91	iphiclides_podalirius.IP_504.chromosome_2	2668785	2770407	510000.0	1300000.0	490000.0	2181320.0	4.0816326530612233e-08	-86169.56456505727
92	iphiclides_podalirius.IP_504.chromosome_2	2708789	2783229	510000.0	1400000.0	490000.0	2181320.0	2.0408163265306117e-08	-85834.41717103713
93	iphiclides_podalirius.IP_504.chromosome_2	2725249	2802348	510000.0	1400000.0	490000.0	2181320.0	2.0408163265306117e-08	-84758.82162632862
94	iphiclides_podalirius.IP_504.chromosome_2	2740318	2817801	510000.0	1400000.0	490000.0	2181320.0	0.0	-85190.69784503481
95	iphiclides_podalirius.IP_504.chromosome_2	2755579	2836272	510000.0	1400000.0	390000.0	2181320.0	0.0	-83840.77761607984
96	iphiclides_podalirius.IP_504.chromosome_2	2770342	2849888	510000.0	1300000.0	390000.0	2181320.0	0.0	-82727.40671673314
97	iphiclides_podalirius.IP_504.chromosome_2	2783163	2866802	510000.0	1200000.0	390000.0	2181320.0	0.0	-83167.58055103067
98	iphiclides_podalirius.IP_504.chromosome_2	2802276	2882506	510000.0	1100000.0	390000.0	2181320.0	0.0	-83764.10694262388
99	iphiclides_podalirius.IP_504.chromosome_2	2817737	2906131	610000.0	1000000.0	390000.0	2181320.0	1.0204081632653058e-08	-84005.22794184044
100	iphiclides_podalirius.IP_504.chromosome_2	2836206	2931874	710000.0	1000000.0	390000.0	2181320.0	5.10204081632653e-08	-86181.49158130906
101	iphiclides_podalirius.IP_504.chromosome_2	2849820	2948140	710000.0	1000000.0	390000.0	2181320.0	4.0816326530612233e-08	-86305.54282344773
102	iphiclides_podalirius.IP_504.chromosome_2	2866736	2965302	810000.0	900000.0	390000.0	2181320.0	7.142857142857142e-08	-84905.59944141426
103	iphiclides_podalirius.IP_504.chromosome_2	2882435	2982940	810000.0	1000000.0	390000.0	2181320.0	7.142857142857142e-08	-86336.90881347815
104	iphiclides_podalirius.IP_504.chromosome_2	2906066	3000339	810000.0	1000000.0	490000.0	2181320.0	2.0408163265306117e-08	-86812.31148726674
105	iphiclides_podalirius.IP_504.chromosome_2	2931807	3015021	710000.0	900000.0	490000.0	2181320.0	0.0	-84636.4546958033
106	iphiclides_podalirius.IP_504.chromosome_2	2948068	3031188	810000.0	800000.0	490000.0	2181320.0	2.0408163265306117e-08	-84721.40412993159
107	iphiclides_podalirius.IP_504.chromosome_2	2965236	3050735	810000.0	1000000.0	490000.0	2181320.0	1.0204081632653058e-08	-86830.53450044425
108	iphiclides_podalirius.IP_504.chromosome_2	2982876	3071266	910000.0	900000.0	490000.0	2181320.0	1.0204081632653058e-08	-86090.47742700194
109	iphiclides_podalirius.IP_504.chromosome_2	3000271	3085978	1010000.0	1000000.0	390000.0	2181320.0	5.10204081632653e-08	-86607.94589817201
110	iphiclides_podalirius.IP_504.chromosome_2	3014927	3103944	810000.0	1200000.0	490000.0	2181320.0	2.0408163265306117e-08	-88578.19018381693
111	iphiclides_podalirius.IP_504.chromosome_2	3031123	3126393	810000.0	1400000.0	490000.0	2181320.0	0.0	-89059.66833261713
112	iphiclides_podalirius.IP_504.chromosome_2	3050666	3143146	710000.0	1500000.0	390000.0	2181320.0	1.0204081632653058e-08	-88014.19527963921
113	iphiclides_podalirius.IP_504.chromosome_2	3071194	3163536	610000.0	1700000.0	390000.0	2181320.0	0.0	-86924.13580885474
114	iphiclides_podalirius.IP_504.chromosome_2	3085892	3253783	510000.0	1600000.0	390000.0	2181320.0	0.0	-85248.08290161693
115	iphiclides_podalirius.IP_504.chromosome_2	3103879	3271365	510000.0	1600000.0	390000.0	2181320.0	1.0204081632653058e-08	-84474.77437662888
116	iphiclides_podalirius.IP_504.chromosome_2	3126322	3284983	410000.0	1600000.0	390000.0	2181320.0	2.0408163265306117e-08	-83062.72110776846
117	iphiclides_podalirius.IP_504.chromosome_2	3143078	3304426	410000.0	1700000.0	390000.0	2181320.0	2.0408163265306117e-08	-82967.80780508344
118	iphiclides_podalirius.IP_504.chromosome_2	3163460	3322839	510000.0	1600000.0	390000.0	2181320.0	4.0816326530612233e-08	-85128.48798768723
119	iphiclides_podalirius.IP_504.chromosome_2	3253783	3350482	610000.0	1800000.0	390000.0	2181320.0	7.142857142857142e-08	-87701.80139858808
120	iphiclides_podalirius.IP_504.chromosome_2	3271294	3382493	710000.0	1600000.0	390000.0	2181320.0	5.10204081632653e-08	-87261.64904045031
121	iphiclides_podalirius.IP_504.chromosome_2	3284897	3402558	710000.0	1700000.0	390000.0	2181320.0	5.10204081632653e-08	-88220.37147379783
122	iphiclides_podalirius.IP_504.chromosome_2	3304338	3419110	810000.0	1700000.0	390000.0	2181320.0	8.163265306122447e-08	-90065.75756397043
123	iphiclides_podalirius.IP_504.chromosome_2	3322772	3444343	710000.0	1700000.0	490000.0	2181320.0	1.020408163265306e-07	-91028.21835436963
124	iphiclides_podalirius.IP_504.chromosome_2	3350401	3461100	610000.0	1700000.0	490000.0	2181320.0	3.0612244897959183e-08	-88735.61509942713
125	iphiclides_podalirius.IP_504.chromosome_2	3382415	3480539	610000.0	1800000.0	390000.0	2181320.0	6.122448979591838e-08	-88853.94021955873
126	iphiclides_podalirius.IP_504.chromosome_2	3402493	3498052	610000.0	1700000.0	390000.0	2181320.0	6.122448979591838e-08	-88077.42393284201
127	iphiclides_podalirius.IP_504.chromosome_2	3419033	3520181	610000.0	1600000.0	490000.0	2181320.0	3.0612244897959183e-08	-88136.05583274912
128	iphiclides_podalirius.IP_504.chromosome_2	3444277	3542344	510000.0	1700000.0	390000.0	2181320.0	4.0816326530612233e-08	-87050.0544686686
129	iphiclides_podalirius.IP_504.chromosome_2	3461027	3565092	610000.0	1500000.0	390000.0	2181320.0	5.10204081632653e-08	-87945.48031304181
130	iphiclides_podalirius.IP_504.chromosome_2	3480471	3686338	610000.0	1500000.0	390000.0	2181320.0	6.122448979591838e-08	-89146.93455362417
131	iphiclides_podalirius.IP_504.chromosome_2	3497985	3710642	710000.0	1400000.0	490000.0	2181320.0	4.0816326530612233e-08	-90126.85426319238
132	iphiclides_podalirius.IP_504.chromosome_2	3520072	3736283	610000.0	1300000.0	390000.0	2181320.0	5.10204081632653e-08	-86532.68580041006
133	iphiclides_podalirius.IP_504.chromosome_2	3542267	3751353	610000.0	1100000.0	390000.0	2181320.0	3.0612244897959183e-08	-83635.3417207496
134	iphiclides_podalirius.IP_504.chromosome_2	3565025	3812783	510000.0	1000000.0	390000.0	2181320.0	3.0612244897959183e-08	-80937.68013445937
135	iphiclides_podalirius.IP_504.chromosome_2	3686264	3845672	510000.0	700000.0	290000.0	2181320.0	8.163265306122447e-08	-77441.39654490878
136	iphiclides_podalirius.IP_504.chromosome_2	3710577	3870124	510000.0	700000.0	290000.0	2181320.0	5.10204081632653e-08	-75975.06349191065
137	iphiclides_podalirius.IP_504.chromosome_2	3736218	3889210	510000.0	600000.0	390000.0	2181320.0	1.0204081632653058e-08	-76206.5158182512
138	iphiclides_podalirius.IP_504.chromosome_2	3751282	3919312	610000.0	700000.0	390000.0	2181320.0	4.0816326530612233e-08	-78179.37881319573
139	iphiclides_podalirius.IP_504.chromosome_2	3812715	3931985	510000.0	800000.0	390000.0	2181320.0	3.0612244897959183e-08	-78174.47236668828
140	iphiclides_podalirius.IP_504.chromosome_2	3845606	3946003	510000.0	800000.0	390000.0	2181320.0	2.0408163265306117e-08	-77680.39545757773
141	iphiclides_podalirius.IP_504.chromosome_2	3870057	3961861	410000.0	900000.0	390000.0	2181320.0	2.0408163265306117e-08	-77210.16082955351
142	iphiclides_podalirius.IP_504.chromosome_2	3889143	3981414	410000.0	1000000.0	390000.0	2181320.0	2.0408163265306117e-08	-78527.62445680136
143	iphiclides_podalirius.IP_504.chromosome_2	3919248	3993771	410000.0	1000000.0	390000.0	2181320.0	1.0204081632653058e-08	-77971.92735283136
144	iphiclides_podalirius.IP_504.chromosome_2	3931919	4013220	410000.0	1000000.0	390000.0	2181320.0	1.0204081632653058e-08	-77972.30725365604
145	iphiclides_podalirius.IP_504.chromosome_2	3945937	4027515	410000.0	1100000.0	390000.0	2181320.0	0.0	-78016.91030842497
146	iphiclides_podalirius.IP_504.chromosome_2	3961793	4042982	410000.0	1100000.0	390000.0	2181320.0	0.0	-77923.45870642463
147	iphiclides_podalirius.IP_504.chromosome_2	3981350	4069498	410000.0	900000.0	390000.0	2181320.0	1.0204081632653058e-08	-76626.19292454251
148	iphiclides_podalirius.IP_504.chromosome_2	3993706	4084054	510000.0	800000.0	290000.0	2181320.0	2.0408163265306117e-08	-76031.23205754375
149	iphiclides_podalirius.IP_504.chromosome_2	4013155	4104619	610000.0	700000.0	290000.0	2181320.0	2.0408163265306117e-08	-75830.82288463559
150	iphiclides_podalirius.IP_504.chromosome_2	4027451	4118141	710000.0	700000.0	290000.0	2181320.0	3.0612244897959183e-08	-76399.9453272634
151	iphiclides_podalirius.IP_504.chromosome_2	4042908	4146376	710000.0	600000.0	290000.0	2181320.0	4.0816326530612233e-08	-76147.33000043793
152	iphiclides_podalirius.IP_504.chromosome_2	4069434	4186284	610000.0	600000.0	290000.0	2181320.0	6.122448979591838e-08	-75788.13840071553
153	iphiclides_podalirius.IP_504.chromosome_2	4083988	4201206	510000.0	700000.0	390000.0	2181320.0	1.0204081632653058e-08	-75878.10470404795
154	iphiclides_podalirius.IP_504.chromosome_2	4104554	4213741	510000.0	800000.0	390000.0	2181320.0	0.0	-77246.61162105968
155	iphiclides_podalirius.IP_504.chromosome_2	4118075	4242043	410000.0	800000.0	390000.0	2181320.0	0.0	-75275.62748089283
156	iphiclides_podalirius.IP_504.chromosome_2	4146308	4262654	310000.0	800000.0	390000.0	2181320.0	0.0	-73303.60045373085
157	iphiclides_podalirius.IP_504.chromosome_2	4186194	4300567	310000.0	900000.0	290000.0	2181320.0	0.0	-72629.90172080255
158	iphiclides_podalirius.IP_504.chromosome_2	4201141	4314555	310000.0	700000.0	290000.0	2181320.0	1.0204081632653058e-08	-72078.12665731537
159	iphiclides_podalirius.IP_504.chromosome_2	4213675	4340558	410000.0	500000.0	290000.0	2181320.0	4.0816326530612233e-08	-69445.41582417642
160	iphiclides_podalirius.IP_504.chromosome_2	4241978	4360547	410000.0	300000.0	290000.0	2181320.0	3.0612244897959183e-08	-67760.16767838228
161	iphiclides_podalirius.IP_504.chromosome_2	4262586	4387817	410000.0	400000.0	290000.0	2181320.0	6.122448979591838e-08	-69673.32555926812
162	iphiclides_podalirius.IP_504.chromosome_2	4300502	4437349	410000.0	500000.0	290000.0	2181320.0	6.122448979591838e-08	-71677.02571867424
163	iphiclides_podalirius.IP_504.chromosome_2	4314481	4481776	510000.0	700000.0	290000.0	2181320.0	6.122448979591838e-08	-74053.36077205808
164	iphiclides_podalirius.IP_504.chromosome_2	4340493	4505689	510000.0	800000.0	290000.0	2181320.0	3.0612244897959183e-08	-76315.30582810409
165	iphiclides_podalirius.IP_504.chromosome_2	4360483	4521260	510000.0	900000.0	390000.0	2181320.0	1.0204081632653058e-08	-77165.14031047701
166	iphiclides_podalirius.IP_504.chromosome_2	4387749	4559743	510000.0	800000.0	390000.0	2181320.0	1.0204081632653058e-08	-76373.92634962646
167	iphiclides_podalirius.IP_504.chromosome_2	4437283	4579764	410000.0	800000.0	390000.0	2181320.0	1.0204081632653058e-08	-75191.45871411786
168	iphiclides_podalirius.IP_504.chromosome_2	4481706	4603702	410000.0	600000.0	290000.0	2181320.0	2.0408163265306117e-08	-69960.51410938418
169	iphiclides_podalirius.IP_504.chromosome_2	4505626	4642731	410000.0	600000.0	290000.0	2181320.0	3.0612244897959183e-08	-69068.18678459429
170	iphiclides_podalirius.IP_504.chromosome_2	4521195	4657127	310000.0	700000.0	290000.0	2181320.0	4.0816326530612233e-08	-70087.43389009031
171	iphiclides_podalirius.IP_504.chromosome_2	4559679	4671803	310000.0	700000.0	190000.0	2181320.0	1.224489795918367e-07	-68994.05894146062
172	iphiclides_podalirius.IP_504.chromosome_2	4579696	4686921	310000.0	600000.0	190000.0	2181320.0	2.040816326530612e-07	-65671.81420480028
173	iphiclides_podalirius.IP_504.chromosome_2	4603636	4710855	310000.0	600000.0	290000.0	2181320.0	9.183673469387754e-08	-68773.64720188382
174	iphiclides_podalirius.IP_504.chromosome_2	4642656	4723528	310000.0	400000.0	290000.0	2181320.0	1.1224489795918366e-07	-67717.78042176685
175	iphiclides_podalirius.IP_504.chromosome_2	4657063	4740073	310000.0	200000.0	290000.0	2181320.0	1.4285714285714285e-07	-64429.91801813883
176	iphiclides_podalirius.IP_504.chromosome_2	4671733	4751710	310000.0	400000.0	290000.0	2181320.0	1.8367346938775507e-07	-65696.66123227299
177	iphiclides_podalirius.IP_504.chromosome_2	4686855	4774237	310000.0	600000.0	290000.0	2181320.0	1.530612244897959e-07	-68446.63615827513
178	iphiclides_podalirius.IP_504.chromosome_2	4710757	4786636	310000.0	600000.0	290000.0	2181320.0	1.1224489795918366e-07	-68709.59280327117
179	iphiclides_podalirius.IP_504.chromosome_2	4723456	4801959	310000.0	800000.0	190000.0	2181320.0	2.5510204081632646e-07	-67253.68275549418
180	iphiclides_podalirius.IP_504.chromosome_2	4740008	4826166	310000.0	900000.0	190000.0	2181320.0	2.040816326530612e-07	-68472.00085206023
181	iphiclides_podalirius.IP_504.chromosome_2	4751607	4839025	310000.0	600000.0	290000.0	2181320.0	6.122448979591838e-08	-68084.06132488706
182	iphiclides_podalirius.IP_504.chromosome_2	4774164	4857168	310000.0	600000.0	290000.0	2181320.0	5.10204081632653e-08	-67641.67567550456
183	iphiclides_podalirius.IP_504.chromosome_2	4786571	4868767	310000.0	500000.0	290000.0	2181320.0	6.122448979591838e-08	-67476.14107409307
184	iphiclides_podalirius.IP_504.chromosome_2	4801892	4884093	310000.0	700000.0	290000.0	2181320.0	2.0408163265306117e-08	-69165.09241595572
185	iphiclides_podalirius.IP_504.chromosome_2	4826099	4901537	310000.0	800000.0	290000.0	2181320.0	1.0204081632653058e-08	-69667.64889828695
186	iphiclides_podalirius.IP_504.chromosome_2	4838961	4922160	310000.0	900000.0	290000.0	2181320.0	1.0204081632653058e-08	-70716.2298961661
187	iphiclides_podalirius.IP_504.chromosome_2	4857098	4939012	310000.0	900000.0	290000.0	2181320.0	2.0408163265306117e-08	-72418.67715388293
188	iphiclides_podalirius.IP_504.chromosome_2	4868699	4954488	310000.0	900000.0	290000.0	2181320.0	1.0204081632653058e-08	-71137.21410944575
